driverId,week,hours-logged,miles-logged
20,29,77,3100
26,32,62,100
69,45,53,500
86,19,54,3000
41,3,69,600
76,23,69,2100
52,5,53,3400
38,37,60,500
60,45,66,800
57,5,56,3200
108,32,66,2100
81,5,63,1500
98,31,57,3800
56,17,52,2100
99,49,58,3200
81,25,64,1400
37,50,68,1100
20,32,70,3800
27,14,71,2900
91,49,76,300
54,5,60,800
109,23,72,2300
34,9,58,0
106,41,68,1800
32,17,52,3700
15,28,67,400
109,31,52,1000
57,13,71,800
107,12,79,2900
94,21,51,400
10,40,77,2400
71,13,61,1600
24,38,54,2100
47,34,62,4000
83,31,79,3100
50,34,65,3500
42,20,69,1300
63,20,62,2400
15,7,78,800
43,15,59,500
27,49,79,2100
55,29,74,4000
77,34,63,1800
102,31,74,600
11,7,63,2500
53,9,67,300
81,19,59,2900
48,51,60,1000
25,1,51,3100
55,48,55,3800
40,19,50,2300
98,38,60,3700
109,29,52,1200
53,22,69,600
44,37,54,700
77,35,76,2900
10,52,76,2500
58,21,72,3900
48,37,70,3400
37,31,66,1800
23,31,78,3200
41,42,61,1000
28,31,54,1500
61,50,71,2900
96,22,61,1000
30,6,72,3300
21,45,61,1300
28,43,65,2900
24,46,58,900
99,44,75,3000
80,20,76,3500
68,48,56,3300
55,3,56,2900
98,13,56,2200
72,2,60,2200
86,26,79,3100
70,31,63,3500
37,5,67,3700
91,51,79,3600
107,29,78,3100
60,44,75,3000
24,37,53,1700
72,20,74,100
64,5,52,2200
67,3,71,3100
33,14,54,200
25,52,74,3400
76,51,80,2300
74,34,78,1500
40,21,57,4000
53,35,73,1900
79,50,51,300
58,22,75,900
28,9,59,2600
99,24,76,1100
12,17,65,900
62,11,55,2300
95,11,52,1400
45,42,57,300
61,16,80,1200
92,41,75,400
73,15,51,3400
49,31,77,2700
56,23,61,3700
56,8,67,200
26,49,73,3700
95,2,77,1700
14,29,69,300
71,13,62,2200
22,16,51,800
80,12,67,2200
99,45,58,1000
93,52,76,1800
12,25,79,1500
82,16,61,3900
41,1,66,1700
37,46,55,800
36,13,65,1700
13,27,65,3600
92,32,74,1600
43,3,50,1500
55,4,76,4000
61,14,76,1300
69,1,60,1200
77,44,66,3700
47,33,50,3200
67,46,78,2300
59,49,68,3800
75,20,77,4000
88,5,78,2500
82,11,72,3000
34,19,56,700
27,44,54,3700
43,11,77,1500
90,24,56,1900
84,17,80,600
96,34,67,2200
18,14,55,1900
46,38,54,3200
34,36,50,1800
97,44,74,3600
98,42,59,2200
24,38,62,2100
19,10,66,3300
92,47,72,2000
12,25,68,2900
34,22,51,1500
80,5,57,900
96,50,50,2800
99,20,76,4000
21,4,74,200
103,25,51,2900
66,32,79,2700
20,45,60,2300
28,19,54,600
109,27,77,1800
56,27,73,100
83,24,78,1200
17,35,71,3700
16,47,68,3000
94,26,70,2900
37,44,72,1900
12,46,50,3000
92,5,57,600
65,49,62,100
77,36,50,2000
72,46,55,1900
55,42,67,1700
65,24,69,1000
62,17,58,4000
93,49,51,0
87,36,63,400
75,38,57,3600
55,3,54,1800
92,10,73,600
28,21,50,1900
50,17,51,2200
94,39,64,3700
16,6,65,1800
15,36,50,3300
38,33,50,0
24,7,63,1000
11,40,59,3400
12,7,59,1300
98,8,76,3500
17,10,65,3600
36,38,60,600
74,12,54,2900
78,34,71,2400
17,50,57,2500
84,30,64,1900
14,3,71,2900
89,39,79,2600
109,4,52,1100
90,25,68,900
98,26,59,800
68,38,52,3200
12,4,61,3100
47,34,63,3400
66,35,71,1100
26,38,52,2600
19,28,80,600
22,35,72,900
98,39,69,3900
87,17,50,500
59,4,53,3200
71,29,63,1700
15,27,80,1000
42,39,51,2600
95,35,72,3300
47,29,67,1800
41,42,60,800
103,46,57,3800
87,5,76,3900
42,43,70,700
105,17,62,2800
96,45,63,2800
62,6,71,4000
86,22,77,2500
66,38,66,1500
89,47,64,1400
15,43,65,3800
67,46,70,500
106,8,63,1000
71,28,72,3400
90,12,80,1900
88,39,69,500
43,9,73,1600
12,3,50,3100
14,31,79,400
57,21,69,200
31,7,55,3600
43,14,74,3400
66,18,73,2500
86,22,62,200
15,17,77,3100
100,51,62,1100
54,14,59,100
25,14,54,2200
35,46,55,1700
92,34,80,2500
53,43,56,1500
16,4,57,2700
59,11,54,500
75,35,53,3300
85,32,73,3500
39,4,55,600
105,8,52,100
42,27,51,2000
109,50,66,2400
38,41,61,2100
19,38,73,2800
34,14,51,700
28,41,70,2800
81,29,50,500
42,43,76,2500
11,22,60,3100
39,10,57,3000
77,27,60,500
80,23,55,1400
87,22,54,3500
108,23,56,3800
12,4,78,3100
31,12,70,2500
93,11,79,2500
22,21,64,2600
54,41,71,1900
93,24,67,2100
107,34,64,800
83,14,80,2500
41,8,72,1300
88,27,54,1100
61,8,50,400
77,31,68,1100
92,34,60,100
31,8,64,3700
62,40,80,1100
52,15,60,1300
46,42,72,2500
64,35,72,3800
28,25,78,700
48,21,60,1700
55,20,77,300
55,14,56,3900
109,31,69,800
37,32,78,3700
13,40,52,1400
103,31,76,300
66,34,61,4000
38,42,72,1900
61,38,66,1500
70,41,50,1900
82,4,54,3600
49,19,69,1200
54,45,62,3800
54,46,80,4000
32,6,74,3700
75,50,79,500
89,16,59,2500
26,21,67,2600
78,42,52,0
42,8,73,2100
21,43,70,2400
78,44,68,2800
60,52,68,800
73,38,78,3000
80,18,74,2700
79,20,52,400
10,28,72,500
78,43,64,3100
71,22,77,1500
57,17,70,1600
101,52,66,3700
52,15,74,400
100,20,66,3500
37,9,55,3600
27,38,59,2800
46,48,60,2900
109,5,61,1100
20,34,69,3900
49,8,59,3400
28,41,60,2200
106,46,50,2600
92,42,50,3500
37,3,76,3000
72,10,57,1600
67,8,74,1600
87,33,67,1700
84,6,64,3200
88,52,68,2500
94,33,58,3200
106,28,72,3600
75,17,55,3700
71,21,60,2300
78,34,67,2900
51,31,51,1100
100,23,52,1400
40,34,63,2800
41,16,73,3600
92,46,66,300
39,35,67,2300
25,29,79,600
39,42,68,1200
43,13,51,2200
65,49,61,1600
101,47,58,2200
69,49,56,300
92,4,52,3000
73,36,80,3200
98,1,55,1900
95,9,61,1800
49,37,79,3000
18,50,80,3200
19,32,74,1500
39,39,73,0
11,37,56,1700
75,25,67,700
30,17,62,1400
40,7,79,1600
72,49,56,300
72,11,58,2700
72,12,57,3200
90,17,72,0
58,37,72,300
98,33,57,2100
91,4,69,0
48,22,51,700
97,3,80,2700
55,15,80,2000
18,31,53,3400
36,50,53,500
68,41,68,1300
51,6,79,1000
36,15,57,4000
87,49,71,1800
33,5,67,2700
67,52,56,3900
16,40,57,1000
35,7,64,1300
107,36,60,800
60,41,70,4000
52,2,79,2800
10,30,77,1800
30,19,80,1100
87,26,79,2900
56,3,58,3000
103,17,68,3600
54,31,79,1100
46,44,54,1200
46,16,64,1200
67,21,64,3400
104,24,59,200
23,10,66,3400
62,40,65,1200
69,19,57,600
103,45,71,1700
84,28,60,800
108,52,61,1100
70,45,56,3400
33,10,68,4000
97,51,57,2000
108,19,65,3700
38,10,70,800
60,16,70,800
69,46,63,0
80,5,62,300
43,32,50,2300
43,23,74,600
104,24,57,2300
78,40,76,3000
56,31,62,2400
29,23,78,800
106,39,54,900
60,51,79,1400
109,32,78,2500
104,14,58,1100
91,46,78,2500
28,34,64,1200
30,29,59,2100
45,10,78,1300
66,38,67,3000
31,24,79,3700
100,38,53,600
20,9,62,300
51,18,70,2000
48,49,54,1600
45,28,52,1500
68,19,77,900
103,37,55,200
12,2,63,1900
10,39,57,2400
69,31,66,2600
103,3,69,2800
31,45,70,4000
15,13,69,100
47,6,66,3400
103,27,75,3400
22,44,72,600
38,40,77,0
25,31,66,2000
36,6,69,3400
70,20,77,3900
95,22,55,300
62,17,64,3900
74,12,77,1400
24,50,52,400
91,31,50,3700
98,46,60,3300
13,15,67,4000
57,20,65,3700
57,51,52,100
59,6,73,2900
51,37,69,400
69,18,63,2200
